Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,Starch,"Alcohol, ethyl",Water,Caffeine,Theobromine,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Fluoride, F","Manganese, Mn","Selenium, Se","Vitamin A, RAE","Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,"Tocopherol, beta","Tocopherol, gamma","Tocopherol, delta","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, gamma","Tocotrienol, delta","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,"Choline, total",Vitamin K (phylloquinone),Betaine,Cholesterol,"Sugars, Total",cat_Baby Foods,cat_Baked Products,cat_Beef Products,cat_Beverages,cat_Breakfast Cereals,cat_Cereal Grains and Pasta,cat_Dairy and Egg Products,cat_Fast Foods,cat_Fats and Oils,cat_Finfish and Shellfish Products,cat_Fruits and Fruit Juices,"cat_Lamb, Veal, and Game Products",cat_Legumes and Legume Products,"cat_Meals, Entrees, and Side Dishes",cat_Nut and Seed Products,cat_Pork Products,cat_Poultry Products,cat_Restaurant Foods,cat_Sausages and Luncheon Meats,cat_Snacks,"cat_Soups, Sauces, and Gravies",cat_Spices and Herbs,cat_Sweets,cat_Vegetables and Vegetable Products
6.17,33.36,57.27,2.13,51.36,0.0,1.07,0.0,0.0,4.0,138.0,1.2,72.0,194.0,144.0,514.0,1.29,0.101,51.9,0.333,7.6,3.0,20.0,2.0,7.23,0.0,41.0,0.0,527.0,0.35,17.84,0.6,0.9,0.0,0.0,0.0,0.0,0.047,0.078,0.842,0.19,0.167,8.0,0.0,12.1,6.3,0.1,0.0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.0,32.7,56.2,2.8,0.0,0.0,1.2,0.0,0.0,5.2,131.0,1.54,77.0,207.0,236.0,763.0,1.06,0.166,0.0,0.774,4.1,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.075,0.21,1.645,0.143,0.23,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.8,26.9,62.9,2.3,0.0,0.0,2.0,0.0,0.0,1.1,3.0,2.54,11.0,44.0,81.0,1022.0,0.21,0.04,0.0,0.087,3.8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.24,1.41,0.225,0.04,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,2.68,82.82,1.2,0.0,0.0,12.3,0.0,0.0,0.0,18.0,0.75,14.0,24.0,164.0,199.0,0.19,0.171,0.0,0.184,2.7,3.0,34.0,1.0,0.56,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.043,0.1,0.1,0.319,0.3,4.0,0.0,12.9,18.2,0.0,0.0,57.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1,3.0,85.8,0.9,0.0,0.0,10.2,0.0,0.0,0.0,32.0,1.01,20.0,31.0,294.0,317.0,0.19,0.171,0.0,0.184,0.4,6.0,34.0,1.0,0.56,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.084,0.02,0.1,0.029,0.3,2.0,0.0,13.2,18.2,0.0,0.0,49.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10.1,19.8,64.4,1.9,0.0,0.0,3.9,0.0,0.0,5.3,61.0,2.95,97.0,277.0,336.0,294.0,2.03,0.392,0.0,1.777,16.2,2.0,17.0,6.0,2.09,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.264,0.119,1.581,0.813,0.085,23.0,0.0,22.0,14.6,6.9,0.0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.7,25.5,62.0,1.6,0.0,0.0,3.1,0.0,0.0,4.8,32.0,2.5,81.0,228.0,273.0,256.0,1.58,0.127,0.0,1.365,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.07,0.61,0.466,0.047,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.6,17.8,66.4,1.8,0.0,0.0,6.4,0.0,0.0,4.2,101.0,2.44,72.0,220.0,362.0,282.0,1.3,0.28,0.0,1.26,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.163,1.101,0.48,0.103,21.0,0.18,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.8,24.9,63.8,1.5,0.0,0.0,3.6,0.0,0.0,3.4,103.0,2.33,66.0,199.0,313.0,200.0,1.3,0.35,0.0,0.93,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.25,0.72,0.51,0.1,26.0,0.57,0.0,0.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8.72,20.18,67.41,1.16,1.4,0.0,2.54,0.0,0.0,1.9,21.0,0.71,66.0,132.0,220.0,174.0,1.03,0.169,0.0,0.656,2.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.2,2.99,0.29,0.0,0.0,0.0,0.0,0.0,0.064,0.085,5.147,0.446,0.173,34.0,0.0,24.7,0.1,0.3,0.0,62.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10.2,31.1,53.4,1.9,0.0,0.0,3.2,6.0,42.0,2.8,108.0,1.45,67.0,227.0,339.0,193.0,1.47,0.323,0.0,1.35,13.1,5.0,6.0,0.0,4.17,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.21,3.29,0.53,0.106,25.0,0.0,24.7,13.2,0.0,12.0,23.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9.8,20.0,62.2,2.0,0.0,0.0,5.9,0.0,0.0,4.2,80.0,1.94,88.0,262.0,377.0,328.0,1.7,0.4,0.0,1.35,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,3.15,0.53,0.1,33.0,0.45,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.29,43.55,45.06,2.9,34.4,0.0,1.2,0.0,0.0,8.1,4.0,1.98,79.0,199.0,182.0,909.0,3.1,0.162,6.3,0.629,2.2,8.0,70.0,46.0,2.43,0.0,0.0,0.0,829.0,0.16,24.88,5.99,0.0,0.0,0.25,0.0,0.3,0.134,0.057,1.195,0.23,0.109,25.0,0.0,12.6,4.1,0.3,0.0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9.7,3.1,80.1,2.0,0.0,0.0,5.0,0.0,0.0,2.9,9.0,1.87,159.0,277.0,327.0,288.0,3.99,0.569,0.0,0.985,9.9,4.0,33.0,21.0,0.29,0.0,0.0,0.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.178,6.006,0.434,0.181,18.0,0.0,22.4,1.1,0.0,0.0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.4,7.8,80.7,1.8,0.0,0.0,3.3,0.0,0.0,3.8,66.0,3.91,80.0,127.0,355.0,177.0,1.24,0.297,0.0,0.764,3.9,4.0,35.0,23.0,0.85,0.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.126,1.99,0.23,0.185,16.0,0.0,17.3,3.9,0.0,0.0,45.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.8,12.8,79.1,1.5,0.0,0.0,2.8,0.0,0.0,5.2,43.0,1.74,35.0,83.0,109.0,206.0,0.58,0.119,0.0,0.22,3.6,2.0,1.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.07,2.2,0.082,0.028,5.0,0.01,23.5,12.5,0.0,0.0,53.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
